"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 02 05:59:12 GMT 2025","Wed Jul 02 05:59:14 GMT 2025","2037","tests","test_login","","","","test_login_valid_credentials",""
"passed","Wed Jul 02 05:59:03 GMT 2025","Wed Jul 02 05:59:10 GMT 2025","6664","tests","test_cart","","","","test_can_place_order_succesfully",""
"passed","Wed Jul 02 05:59:59 GMT 2025","Wed Jul 02 06:00:02 GMT 2025","2977","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details[expected_product_type_and_category1]",""
"passed","Wed Jul 02 05:59:19 GMT 2025","Wed Jul 02 05:59:21 GMT 2025","1219","tests","test_login","","","","test_login_with_wrong_password",""
"passed","Wed Jul 02 05:59:37 GMT 2025","Wed Jul 02 05:59:41 GMT 2025","3942","tests","test_product_page","","","","test_product_details_match_card_details[products_and_category1]",""
"passed","Wed Jul 02 05:59:43 GMT 2025","Wed Jul 02 05:59:45 GMT 2025","2349","tests","test_product_page","","","","test_product_details_match_card_details[products_and_category2]",""
"passed","Wed Jul 02 05:59:53 GMT 2025","Wed Jul 02 05:59:57 GMT 2025","3406","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details[expected_product_type_and_category0]",""
"failed","Wed Jul 02 05:58:55 GMT 2025","Wed Jul 02 05:59:01 GMT 2025","6074","tests","test_cart","","","","test_total_cart_price_drops_after_deleting_product",""
"passed","Wed Jul 02 05:58:38 GMT 2025","Wed Jul 02 05:58:45 GMT 2025","6324","tests","test_cart","","","","test_product_page_details_match_cart_page_details",""
"passed","Wed Jul 02 05:58:33 GMT 2025","Wed Jul 02 05:58:36 GMT 2025","2479","tests","test_cart","","","","test_product_is_displayed_in_products_table",""
"passed","Wed Jul 02 05:59:51 GMT 2025","Wed Jul 02 05:59:52 GMT 2025","1048","tests","test_products_page","","","","test_all_cards_are_visible_on_start_page",""
"passed","Wed Jul 02 05:59:47 GMT 2025","Wed Jul 02 05:59:49 GMT 2025","1684","tests","test_product_page","","","","test_add_product_to_cart",""
"passed","Wed Jul 02 05:59:16 GMT 2025","Wed Jul 02 05:59:17 GMT 2025","1021","tests","test_login","","","","test_login_with_missing_credentials",""
"passed","Wed Jul 02 06:00:03 GMT 2025","Wed Jul 02 06:00:05 GMT 2025","1597","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details[expected_product_type_and_category2]",""
"passed","Wed Jul 02 05:59:27 GMT 2025","Wed Jul 02 05:59:29 GMT 2025","2287","tests","test_login","","","","test_successful_login_after_initial_failed_attempt",""
"passed","Wed Jul 02 05:59:23 GMT 2025","Wed Jul 02 05:59:25 GMT 2025","1648","tests","test_login","","","","test_login_with_inexistent_user",""
"passed","Wed Jul 02 05:58:47 GMT 2025","Wed Jul 02 05:58:53 GMT 2025","5634","tests","test_cart","","","","test_total_cart_price_matches_products_total_price",""
"passed","Wed Jul 02 05:59:31 GMT 2025","Wed Jul 02 05:59:35 GMT 2025","4331","tests","test_product_page","","","","test_product_details_match_card_details[products_and_category0]",""
