"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 12 11:13:33 GMT 2025","Sat Jul 12 11:13:39 GMT 2025","5751","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"passed","Sat Jul 12 11:14:23 GMT 2025","Sat Jul 12 11:14:26 GMT 2025","2205","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Sat Jul 12 11:13:01 GMT 2025","Sat Jul 12 11:13:02 GMT 2025","920","tests","test_login","","","","test_login_with_missing_credentials in firefox",""
"passed","Sat Jul 12 11:11:56 GMT 2025","Sat Jul 12 11:12:02 GMT 2025","6206","tests","test_cart","","","","test_product_page_details_match_cart_page_details in firefox",""
"passed","Sat Jul 12 11:13:49 GMT 2025","Sat Jul 12 11:13:51 GMT 2025","2319","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Sat Jul 12 11:13:59 GMT 2025","Sat Jul 12 11:14:00 GMT 2025","815","tests","test_products_page","","","","test_all_cards_are_visible_on_start_page in chrome",""
"passed","Sat Jul 12 11:13:08 GMT 2025","Sat Jul 12 11:13:10 GMT 2025","1715","tests","test_login","","","","test_login_with_inexistent_user in chrome",""
"passed","Sat Jul 12 11:14:03 GMT 2025","Sat Jul 12 11:14:08 GMT 2025","5213","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Sat Jul 12 11:13:45 GMT 2025","Sat Jul 12 11:13:48 GMT 2025","3056","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"passed","Sat Jul 12 11:11:39 GMT 2025","Sat Jul 12 11:11:42 GMT 2025","3523","tests","test_cart","","","","test_product_is_displayed_in_products_table in chrome",""
"passed","Sat Jul 12 11:14:14 GMT 2025","Sat Jul 12 11:14:18 GMT 2025","4641","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Sat Jul 12 11:13:17 GMT 2025","Sat Jul 12 11:13:19 GMT 2025","2045","tests","test_login","","","","test_successful_login_after_initial_failed_attempt in firefox",""
"passed","Sat Jul 12 11:12:45 GMT 2025","Sat Jul 12 11:12:52 GMT 2025","6799","tests","test_cart","","","","test_can_place_order_succesfully in firefox",""
"passed","Sat Jul 12 11:13:03 GMT 2025","Sat Jul 12 11:13:05 GMT 2025","1676","tests","test_login","","","","test_login_with_wrong_password in chrome",""
"passed","Sat Jul 12 11:14:01 GMT 2025","Sat Jul 12 11:14:02 GMT 2025","1163","tests","test_products_page","","","","test_all_cards_are_visible_on_start_page in firefox",""
"passed","Sat Jul 12 11:11:44 GMT 2025","Sat Jul 12 11:11:46 GMT 2025","2712","tests","test_cart","","","","test_product_is_displayed_in_products_table in firefox",""
"passed","Sat Jul 12 11:13:28 GMT 2025","Sat Jul 12 11:13:32 GMT 2025","4266","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Sat Jul 12 11:14:20 GMT 2025","Sat Jul 12 11:14:23 GMT 2025","3057","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Sat Jul 12 11:12:12 GMT 2025","Sat Jul 12 11:12:18 GMT 2025","5932","tests","test_cart","","","","test_total_cart_price_matches_products_total_price in firefox",""
"passed","Sat Jul 12 11:11:47 GMT 2025","Sat Jul 12 11:11:55 GMT 2025","7515","tests","test_cart","","","","test_product_page_details_match_cart_page_details in chrome",""
"passed","Sat Jul 12 11:13:20 GMT 2025","Sat Jul 12 11:13:26 GMT 2025","6488","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"passed","Sat Jul 12 11:13:06 GMT 2025","Sat Jul 12 11:13:07 GMT 2025","1062","tests","test_login","","","","test_login_with_wrong_password in firefox",""
"passed","Sat Jul 12 11:13:40 GMT 2025","Sat Jul 12 11:13:44 GMT 2025","3809","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Sat Jul 12 11:14:10 GMT 2025","Sat Jul 12 11:14:13 GMT 2025","3174","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Sat Jul 12 11:12:53 GMT 2025","Sat Jul 12 11:12:55 GMT 2025","1687","tests","test_login","","","","test_login_valid_credentials in chrome",""
"passed","Sat Jul 12 11:12:19 GMT 2025","Sat Jul 12 11:12:27 GMT 2025","8310","tests","test_cart","","","","test_total_cart_price_drops_after_deleting_product in chrome",""
"failed","Sat Jul 12 11:14:27 GMT 2025","Sat Jul 12 11:14:32 GMT 2025","5325","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Sat Jul 12 11:13:56 GMT 2025","Sat Jul 12 11:13:58 GMT 2025","1824","tests","test_product_page","","","","test_add_product_to_cart in firefox",""
"passed","Sat Jul 12 11:12:36 GMT 2025","Sat Jul 12 11:12:44 GMT 2025","8041","tests","test_cart","","","","test_can_place_order_succesfully in chrome",""
"passed","Sat Jul 12 11:12:59 GMT 2025","Sat Jul 12 11:13:00 GMT 2025","1090","tests","test_login","","","","test_login_with_missing_credentials in chrome",""
"passed","Sat Jul 12 11:13:13 GMT 2025","Sat Jul 12 11:13:16 GMT 2025","2480","tests","test_login","","","","test_successful_login_after_initial_failed_attempt in chrome",""
"passed","Sat Jul 12 11:12:56 GMT 2025","Sat Jul 12 11:12:58 GMT 2025","1786","tests","test_login","","","","test_login_valid_credentials in firefox",""
"passed","Sat Jul 12 11:13:11 GMT 2025","Sat Jul 12 11:13:12 GMT 2025","1235","tests","test_login","","","","test_login_with_inexistent_user in firefox",""
"passed","Sat Jul 12 11:12:03 GMT 2025","Sat Jul 12 11:12:10 GMT 2025","7077","tests","test_cart","","","","test_total_cart_price_matches_products_total_price in chrome",""
"passed","Sat Jul 12 11:13:52 GMT 2025","Sat Jul 12 11:13:55 GMT 2025","2278","tests","test_product_page","","","","test_add_product_to_cart in chrome",""
"passed","Sat Jul 12 11:12:28 GMT 2025","Sat Jul 12 11:12:35 GMT 2025","6667","tests","test_cart","","","","test_total_cart_price_drops_after_deleting_product in firefox",""
