"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1018","test_login_with_wrong_password in firefox","tests","Thu Dec 11 06:11:13 UTC 2025","passed","Thu Dec 11 06:11:14 UTC 2025","","test_login","",""
"","1976","test_successful_login_after_initial_failed_attempt in firefox","tests","Thu Dec 11 06:11:24 UTC 2025","passed","Thu Dec 11 06:11:26 UTC 2025","","test_login","",""
"","580","test_total_cart_price_drops_after_deleting_product in chrome","tests","Thu Dec 11 06:10:35 UTC 2025","broken","Thu Dec 11 06:10:35 UTC 2025","","test_cart","",""
"","4098","test_product_details_match_card_details in firefox","tests","Thu Dec 11 06:11:46 UTC 2025","passed","Thu Dec 11 06:11:50 UTC 2025","","test_product_page","",""
"","5968","test_product_details_match_card_details in chrome","tests","Thu Dec 11 06:11:26 UTC 2025","passed","Thu Dec 11 06:11:32 UTC 2025","","test_product_page","",""
"","864","test_login_with_missing_credentials in firefox","tests","Thu Dec 11 06:11:08 UTC 2025","passed","Thu Dec 11 06:11:09 UTC 2025","","test_login","",""
"","1727","test_login_valid_credentials in firefox","tests","Thu Dec 11 06:11:03 UTC 2025","passed","Thu Dec 11 06:11:05 UTC 2025","","test_login","",""
"","1733","test_login_with_inexistent_user in chrome","tests","Thu Dec 11 06:11:15 UTC 2025","passed","Thu Dec 11 06:11:16 UTC 2025","","test_login","",""
"","558","test_product_page_details_match_cart_page_details in chrome","tests","Thu Dec 11 06:10:13 UTC 2025","broken","Thu Dec 11 06:10:13 UTC 2025","","test_cart","",""
"","2157","test_expected_products_are_displayed_with_all_expected_details in chrome","tests","Thu Dec 11 06:12:25 UTC 2025","passed","Thu Dec 11 06:12:27 UTC 2025","","test_products_page","",""
"","799","test_add_product_to_cart in firefox","tests","Thu Dec 11 06:12:00 UTC 2025","broken","Thu Dec 11 06:12:01 UTC 2025","","test_product_page","",""
"","3938","test_expected_products_are_displayed_with_all_expected_details in chrome","tests","Thu Dec 11 06:12:16 UTC 2025","passed","Thu Dec 11 06:12:20 UTC 2025","","test_products_page","",""
"","1696","test_login_valid_credentials in chrome","tests","Thu Dec 11 06:11:00 UTC 2025","passed","Thu Dec 11 06:11:02 UTC 2025","","test_login","",""
"","4776","test_product_details_match_card_details in firefox","tests","Thu Dec 11 06:11:34 UTC 2025","passed","Thu Dec 11 06:11:39 UTC 2025","","test_product_page","",""
"","509","test_add_product_to_cart in chrome","tests","Thu Dec 11 06:11:58 UTC 2025","broken","Thu Dec 11 06:11:59 UTC 2025","","test_product_page","",""
"","6000","test_can_place_order_succesfully in firefox","tests","Thu Dec 11 06:10:53 UTC 2025","passed","Thu Dec 11 06:10:59 UTC 2025","","test_cart","",""
"","10884","test_product_page_details_match_cart_page_details in firefox","tests","Thu Dec 11 06:10:15 UTC 2025","passed","Thu Dec 11 06:10:26 UTC 2025","","test_cart","",""
"","5292","test_total_cart_price_matches_products_total_price in firefox","tests","Thu Dec 11 06:10:29 UTC 2025","passed","Thu Dec 11 06:10:34 UTC 2025","","test_cart","",""
"","2691","test_product_is_displayed_in_products_table in firefox","tests","Thu Dec 11 06:10:09 UTC 2025","passed","Thu Dec 11 06:10:12 UTC 2025","","test_cart","",""
"","7858","test_can_place_order_succesfully in chrome","tests","Thu Dec 11 06:10:44 UTC 2025","passed","Thu Dec 11 06:10:52 UTC 2025","","test_cart","",""
"","1130","test_login_with_missing_credentials in chrome","tests","Thu Dec 11 06:11:05 UTC 2025","passed","Thu Dec 11 06:11:07 UTC 2025","","test_login","",""
"","2982","test_product_is_displayed_in_products_table in chrome","tests","Thu Dec 11 06:10:05 UTC 2025","passed","Thu Dec 11 06:10:08 UTC 2025","","test_cart","",""
"","788","test_all_cards_are_visible_on_start_page in chrome","tests","Thu Dec 11 06:12:02 UTC 2025","passed","Thu Dec 11 06:12:02 UTC 2025","","test_products_page","",""
"","517","test_total_cart_price_matches_products_total_price in chrome","tests","Thu Dec 11 06:10:27 UTC 2025","broken","Thu Dec 11 06:10:27 UTC 2025","","test_cart","",""
