"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2552","test_successful_login_after_initial_failed_attempt in chrome","tests","Thu Dec 11 06:11:20 UTC 2025","passed","Thu Dec 11 06:11:22 UTC 2025","","test_login","",""
"","2908","test_expected_products_are_displayed_with_all_expected_details in firefox","tests","Thu Dec 11 06:12:21 UTC 2025","passed","Thu Dec 11 06:12:24 UTC 2025","","test_products_page","",""
"","2477","test_product_details_match_card_details in chrome","tests","Thu Dec 11 06:11:51 UTC 2025","passed","Thu Dec 11 06:11:53 UTC 2025","","test_product_page","",""
"","2523","test_product_details_match_card_details in firefox","tests","Thu Dec 11 06:11:55 UTC 2025","passed","Thu Dec 11 06:11:57 UTC 2025","","test_product_page","",""
"","930","test_all_cards_are_visible_on_start_page in firefox","tests","Thu Dec 11 06:12:04 UTC 2025","passed","Thu Dec 11 06:12:05 UTC 2025","","test_products_page","",""
"","5952","test_total_cart_price_drops_after_deleting_product in firefox","tests","Thu Dec 11 06:10:37 UTC 2025","passed","Thu Dec 11 06:10:43 UTC 2025","","test_cart","",""
"","1550","test_expected_products_are_displayed_with_all_expected_details in firefox","tests","Thu Dec 11 06:12:29 UTC 2025","passed","Thu Dec 11 06:12:30 UTC 2025","","test_products_page","",""
"","1741","test_login_with_wrong_password in chrome","tests","Thu Dec 11 06:11:10 UTC 2025","passed","Thu Dec 11 06:11:11 UTC 2025","","test_login","",""
"","3552","test_expected_products_are_displayed_with_all_expected_details in firefox","tests","Thu Dec 11 06:12:12 UTC 2025","passed","Thu Dec 11 06:12:15 UTC 2025","","test_products_page","",""
"","4519","test_expected_products_are_displayed_with_all_expected_details in chrome","tests","Thu Dec 11 06:12:06 UTC 2025","passed","Thu Dec 11 06:12:10 UTC 2025","","test_products_page","",""
"","4912","test_product_details_match_card_details in chrome","tests","Thu Dec 11 06:11:40 UTC 2025","passed","Thu Dec 11 06:11:44 UTC 2025","","test_product_page","",""
"","1032","test_login_with_inexistent_user in firefox","tests","Thu Dec 11 06:11:18 UTC 2025","passed","Thu Dec 11 06:11:19 UTC 2025","","test_login","",""
