"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 15 05:48:42 GMT 2025","Tue Jul 15 05:48:43 GMT 2025","930","tests","test_login","","","","test_login_with_wrong_password in firefox",""
"passed","Tue Jul 15 05:48:14 GMT 2025","Tue Jul 15 05:48:21 GMT 2025","7426","tests","test_cart","","","","test_can_place_order_succesfully in chrome",""
"passed","Tue Jul 15 05:49:14 GMT 2025","Tue Jul 15 05:49:18 GMT 2025","3912","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Tue Jul 15 05:49:57 GMT 2025","Tue Jul 15 05:49:58 GMT 2025","1659","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Tue Jul 15 05:48:32 GMT 2025","Tue Jul 15 05:48:33 GMT 2025","1682","tests","test_login","","","","test_login_valid_credentials in firefox",""
"passed","Tue Jul 15 05:48:34 GMT 2025","Tue Jul 15 05:48:35 GMT 2025","992","tests","test_login","","","","test_login_with_missing_credentials in chrome",""
"broken","Tue Jul 15 05:47:50 GMT 2025","Tue Jul 15 05:47:50 GMT 2025","526","tests","test_cart","","","","test_total_cart_price_matches_products_total_price in chrome",""
"passed","Tue Jul 15 05:49:08 GMT 2025","Tue Jul 15 05:49:13 GMT 2025","4880","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"passed","Tue Jul 15 05:48:37 GMT 2025","Tue Jul 15 05:48:38 GMT 2025","1272","tests","test_login","","","","test_login_with_missing_credentials in firefox",""
"passed","Tue Jul 15 05:47:32 GMT 2025","Tue Jul 15 05:47:34 GMT 2025","2627","tests","test_cart","","","","test_product_is_displayed_in_products_table in firefox",""
"passed","Tue Jul 15 05:48:39 GMT 2025","Tue Jul 15 05:48:40 GMT 2025","1666","tests","test_login","","","","test_login_with_wrong_password in chrome",""
"passed","Tue Jul 15 05:47:58 GMT 2025","Tue Jul 15 05:48:05 GMT 2025","7546","tests","test_cart","","","","test_total_cart_price_drops_after_deleting_product in chrome",""
"passed","Tue Jul 15 05:49:32 GMT 2025","Tue Jul 15 05:49:33 GMT 2025","768","tests","test_products_page","","","","test_all_cards_are_visible_on_start_page in chrome",""
"passed","Tue Jul 15 05:49:26 GMT 2025","Tue Jul 15 05:49:28 GMT 2025","2160","tests","test_product_page","","","","test_add_product_to_cart in chrome",""
"passed","Tue Jul 15 05:49:42 GMT 2025","Tue Jul 15 05:49:46 GMT 2025","3425","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Tue Jul 15 05:48:49 GMT 2025","Tue Jul 15 05:48:51 GMT 2025","2481","tests","test_login","","","","test_successful_login_after_initial_failed_attempt in chrome",""
"passed","Tue Jul 15 05:49:53 GMT 2025","Tue Jul 15 05:49:56 GMT 2025","2923","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Tue Jul 15 05:47:44 GMT 2025","Tue Jul 15 05:47:49 GMT 2025","5275","tests","test_cart","","","","test_product_page_details_match_cart_page_details in firefox",""
"passed","Tue Jul 15 05:49:47 GMT 2025","Tue Jul 15 05:49:51 GMT 2025","4537","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Tue Jul 15 05:47:27 GMT 2025","Tue Jul 15 05:47:30 GMT 2025","2869","tests","test_cart","","","","test_product_is_displayed_in_products_table in chrome",""
"passed","Tue Jul 15 05:49:36 GMT 2025","Tue Jul 15 05:49:41 GMT 2025","5306","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Tue Jul 15 05:49:02 GMT 2025","Tue Jul 15 05:49:07 GMT 2025","4574","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Tue Jul 15 05:48:22 GMT 2025","Tue Jul 15 05:48:28 GMT 2025","5370","tests","test_cart","","","","test_can_place_order_succesfully in firefox",""
"passed","Tue Jul 15 05:48:47 GMT 2025","Tue Jul 15 05:48:48 GMT 2025","946","tests","test_login","","","","test_login_with_inexistent_user in firefox",""
"passed","Tue Jul 15 05:47:35 GMT 2025","Tue Jul 15 05:47:42 GMT 2025","7210","tests","test_cart","","","","test_product_page_details_match_cart_page_details in chrome",""
"passed","Tue Jul 15 05:48:52 GMT 2025","Tue Jul 15 05:48:54 GMT 2025","1871","tests","test_login","","","","test_successful_login_after_initial_failed_attempt in firefox",""
"passed","Tue Jul 15 05:49:23 GMT 2025","Tue Jul 15 05:49:25 GMT 2025","2266","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Tue Jul 15 05:48:29 GMT 2025","Tue Jul 15 05:48:30 GMT 2025","1636","tests","test_login","","","","test_login_valid_credentials in chrome",""
"passed","Tue Jul 15 05:48:55 GMT 2025","Tue Jul 15 05:49:01 GMT 2025","5711","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"passed","Tue Jul 15 05:50:00 GMT 2025","Tue Jul 15 05:50:01 GMT 2025","1459","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Tue Jul 15 05:49:34 GMT 2025","Tue Jul 15 05:49:35 GMT 2025","911","tests","test_products_page","","","","test_all_cards_are_visible_on_start_page in firefox",""
"passed","Tue Jul 15 05:48:07 GMT 2025","Tue Jul 15 05:48:13 GMT 2025","5968","tests","test_cart","","","","test_total_cart_price_drops_after_deleting_product in firefox",""
"passed","Tue Jul 15 05:49:29 GMT 2025","Tue Jul 15 05:49:31 GMT 2025","1599","tests","test_product_page","","","","test_add_product_to_cart in firefox",""
"passed","Tue Jul 15 05:49:19 GMT 2025","Tue Jul 15 05:49:21 GMT 2025","2534","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"passed","Tue Jul 15 05:48:44 GMT 2025","Tue Jul 15 05:48:45 GMT 2025","1623","tests","test_login","","","","test_login_with_inexistent_user in chrome",""
"passed","Tue Jul 15 05:47:52 GMT 2025","Tue Jul 15 05:47:57 GMT 2025","5077","tests","test_cart","","","","test_total_cart_price_matches_products_total_price in firefox",""
