"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 11 05:52:51 GMT 2025","Fri Jul 11 05:52:53 GMT 2025","1674","tests","test_login","","","","test_login_with_inexistent_user in chrome",""
"passed","Fri Jul 11 05:52:49 GMT 2025","Fri Jul 11 05:52:50 GMT 2025","887","tests","test_login","","","","test_login_with_wrong_password in firefox",""
"passed","Fri Jul 11 05:51:55 GMT 2025","Fri Jul 11 05:51:58 GMT 2025","2902","tests","test_cart","","","","test_product_is_displayed_in_products_table in chrome",""
"passed","Fri Jul 11 05:52:00 GMT 2025","Fri Jul 11 05:52:02 GMT 2025","2227","tests","test_cart","","","","test_product_is_displayed_in_products_table in firefox",""
"passed","Fri Jul 11 05:54:04 GMT 2025","Fri Jul 11 05:54:06 GMT 2025","1644","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Fri Jul 11 05:53:00 GMT 2025","Fri Jul 11 05:53:02 GMT 2025","1811","tests","test_login","","","","test_successful_login_after_initial_failed_attempt in firefox",""
"passed","Fri Jul 11 05:54:00 GMT 2025","Fri Jul 11 05:54:03 GMT 2025","3103","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Fri Jul 11 05:52:30 GMT 2025","Fri Jul 11 05:52:36 GMT 2025","5368","tests","test_cart","","","","test_can_place_order_succesfully in firefox",""
"passed","Fri Jul 11 05:53:27 GMT 2025","Fri Jul 11 05:53:30 GMT 2025","3053","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"passed","Fri Jul 11 05:52:42 GMT 2025","Fri Jul 11 05:52:43 GMT 2025","1099","tests","test_login","","","","test_login_with_missing_credentials in chrome",""
"passed","Fri Jul 11 05:52:21 GMT 2025","Fri Jul 11 05:52:27 GMT 2025","5957","tests","test_cart","","","","test_total_cart_price_drops_after_deleting_product in firefox",""
"passed","Fri Jul 11 05:52:13 GMT 2025","Fri Jul 11 05:52:19 GMT 2025","5114","tests","test_cart","","","","test_total_cart_price_matches_products_total_price in firefox",""
"passed","Fri Jul 11 05:52:56 GMT 2025","Fri Jul 11 05:52:59 GMT 2025","2551","tests","test_login","","","","test_successful_login_after_initial_failed_attempt in chrome",""
"passed","Fri Jul 11 05:52:46 GMT 2025","Fri Jul 11 05:52:48 GMT 2025","1651","tests","test_login","","","","test_login_with_wrong_password in chrome",""
"passed","Fri Jul 11 05:53:55 GMT 2025","Fri Jul 11 05:53:59 GMT 2025","4040","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Fri Jul 11 05:53:16 GMT 2025","Fri Jul 11 05:53:21 GMT 2025","4988","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"broken","Fri Jul 11 05:52:03 GMT 2025","Fri Jul 11 05:52:04 GMT 2025","515","tests","test_cart","","","","test_product_page_details_match_cart_page_details in chrome",""
"passed","Fri Jul 11 05:53:38 GMT 2025","Fri Jul 11 05:53:40 GMT 2025","1530","tests","test_product_page","","","","test_add_product_to_cart in firefox",""
"passed","Fri Jul 11 05:53:41 GMT 2025","Fri Jul 11 05:53:42 GMT 2025","731","tests","test_products_page","","","","test_all_cards_are_visible_on_start_page in chrome",""
"passed","Fri Jul 11 05:52:40 GMT 2025","Fri Jul 11 05:52:41 GMT 2025","1586","tests","test_login","","","","test_login_valid_credentials in firefox",""
"passed","Fri Jul 11 05:53:35 GMT 2025","Fri Jul 11 05:53:37 GMT 2025","2119","tests","test_product_page","","","","test_add_product_to_cart in chrome",""
"passed","Fri Jul 11 05:53:51 GMT 2025","Fri Jul 11 05:53:54 GMT 2025","3377","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"broken","Fri Jul 11 05:52:12 GMT 2025","Fri Jul 11 05:52:12 GMT 2025","472","tests","test_cart","","","","test_total_cart_price_matches_products_total_price in chrome",""
"passed","Fri Jul 11 05:52:45 GMT 2025","Fri Jul 11 05:52:45 GMT 2025","796","tests","test_login","","","","test_login_with_missing_credentials in firefox",""
"passed","Fri Jul 11 05:52:05 GMT 2025","Fri Jul 11 05:52:11 GMT 2025","5487","tests","test_cart","","","","test_product_page_details_match_cart_page_details in firefox",""
"broken","Fri Jul 11 05:52:28 GMT 2025","Fri Jul 11 05:52:29 GMT 2025","472","tests","test_cart","","","","test_can_place_order_succesfully in chrome",""
"passed","Fri Jul 11 05:52:54 GMT 2025","Fri Jul 11 05:52:55 GMT 2025","939","tests","test_login","","","","test_login_with_inexistent_user in firefox",""
"passed","Fri Jul 11 05:53:10 GMT 2025","Fri Jul 11 05:53:15 GMT 2025","4639","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"broken","Fri Jul 11 05:52:19 GMT 2025","Fri Jul 11 05:52:20 GMT 2025","461","tests","test_cart","","","","test_total_cart_price_drops_after_deleting_product in chrome",""
"passed","Fri Jul 11 05:53:43 GMT 2025","Fri Jul 11 05:53:44 GMT 2025","853","tests","test_products_page","","","","test_all_cards_are_visible_on_start_page in firefox",""
"passed","Fri Jul 11 05:54:07 GMT 2025","Fri Jul 11 05:54:09 GMT 2025","1539","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Fri Jul 11 05:53:22 GMT 2025","Fri Jul 11 05:53:26 GMT 2025","4131","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Fri Jul 11 05:53:45 GMT 2025","Fri Jul 11 05:53:49 GMT 2025","4481","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Fri Jul 11 05:53:32 GMT 2025","Fri Jul 11 05:53:34 GMT 2025","2345","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Fri Jul 11 05:52:37 GMT 2025","Fri Jul 11 05:52:38 GMT 2025","1704","tests","test_login","","","","test_login_valid_credentials in chrome",""
"passed","Fri Jul 11 05:53:03 GMT 2025","Fri Jul 11 05:53:09 GMT 2025","6066","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
