"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 27 08:26:38 GMT 2025","Sun Jul 27 08:26:40 GMT 2025","1627","tests","test_product_page","","","","test_add_product_to_cart in firefox",""
"passed","Sun Jul 27 08:26:41 GMT 2025","Sun Jul 27 08:26:42 GMT 2025","727","tests","test_products_page","","","","test_all_cards_are_visible_on_start_page in chrome",""
"passed","Sun Jul 27 08:27:02 GMT 2025","Sun Jul 27 08:27:05 GMT 2025","3196","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Sun Jul 27 08:26:52 GMT 2025","Sun Jul 27 08:26:55 GMT 2025","3597","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Sun Jul 27 08:25:41 GMT 2025","Sun Jul 27 08:25:42 GMT 2025","995","tests","test_login","","","","test_login_with_missing_credentials in chrome",""
"passed","Sun Jul 27 08:26:45 GMT 2025","Sun Jul 27 08:26:50 GMT 2025","5440","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Sun Jul 27 08:27:06 GMT 2025","Sun Jul 27 08:27:08 GMT 2025","1708","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Sun Jul 27 08:26:22 GMT 2025","Sun Jul 27 08:26:27 GMT 2025","4261","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Sun Jul 27 08:25:53 GMT 2025","Sun Jul 27 08:25:54 GMT 2025","1039","tests","test_login","","","","test_login_with_inexistent_user in firefox",""
"passed","Sun Jul 27 08:25:35 GMT 2025","Sun Jul 27 08:25:37 GMT 2025","1648","tests","test_login","","","","test_login_valid_credentials in chrome",""
"passed","Sun Jul 27 08:25:38 GMT 2025","Sun Jul 27 08:25:40 GMT 2025","1717","tests","test_login","","","","test_login_valid_credentials in firefox",""
"passed","Sun Jul 27 08:25:50 GMT 2025","Sun Jul 27 08:25:52 GMT 2025","1688","tests","test_login","","","","test_login_with_inexistent_user in chrome",""
"passed","Sun Jul 27 08:26:32 GMT 2025","Sun Jul 27 08:26:34 GMT 2025","2414","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Sun Jul 27 08:25:59 GMT 2025","Sun Jul 27 08:26:01 GMT 2025","2001","tests","test_login","","","","test_successful_login_after_initial_failed_attempt in firefox",""
"passed","Sun Jul 27 08:26:43 GMT 2025","Sun Jul 27 08:26:44 GMT 2025","948","tests","test_products_page","","","","test_all_cards_are_visible_on_start_page in firefox",""
"passed","Sun Jul 27 08:26:15 GMT 2025","Sun Jul 27 08:26:21 GMT 2025","5827","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"passed","Sun Jul 27 08:25:45 GMT 2025","Sun Jul 27 08:25:47 GMT 2025","1653","tests","test_login","","","","test_login_with_wrong_password in chrome",""
"passed","Sun Jul 27 08:27:09 GMT 2025","Sun Jul 27 08:27:11 GMT 2025","1508","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Sun Jul 27 08:25:20 GMT 2025","Sun Jul 27 08:25:27 GMT 2025","7630","tests","test_cart","","","","test_can_place_order_succesfully in chrome",""
"passed","Sun Jul 27 08:24:49 GMT 2025","Sun Jul 27 08:24:56 GMT 2025","7110","tests","test_cart","","","","test_total_cart_price_matches_products_total_price in chrome",""
"passed","Sun Jul 27 08:25:43 GMT 2025","Sun Jul 27 08:25:44 GMT 2025","831","tests","test_login","","","","test_login_with_missing_credentials in firefox",""
"passed","Sun Jul 27 08:25:55 GMT 2025","Sun Jul 27 08:25:58 GMT 2025","2475","tests","test_login","","","","test_successful_login_after_initial_failed_attempt in chrome",""
"passed","Sun Jul 27 08:25:29 GMT 2025","Sun Jul 27 08:25:35 GMT 2025","5621","tests","test_cart","","","","test_can_place_order_succesfully in firefox",""
"broken","Sun Jul 27 08:24:40 GMT 2025","Sun Jul 27 08:24:41 GMT 2025","535","tests","test_cart","","","","test_product_page_details_match_cart_page_details in chrome",""
"passed","Sun Jul 27 08:26:28 GMT 2025","Sun Jul 27 08:26:30 GMT 2025","2633","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"passed","Sun Jul 27 08:26:02 GMT 2025","Sun Jul 27 08:26:08 GMT 2025","5999","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"passed","Sun Jul 27 08:26:09 GMT 2025","Sun Jul 27 08:26:14 GMT 2025","4898","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Sun Jul 27 08:24:42 GMT 2025","Sun Jul 27 08:24:48 GMT 2025","5582","tests","test_cart","","","","test_product_page_details_match_cart_page_details in firefox",""
"passed","Sun Jul 27 08:25:48 GMT 2025","Sun Jul 27 08:25:49 GMT 2025","1085","tests","test_login","","","","test_login_with_wrong_password in firefox",""
"passed","Sun Jul 27 08:24:57 GMT 2025","Sun Jul 27 08:25:03 GMT 2025","5309","tests","test_cart","","","","test_total_cart_price_matches_products_total_price in firefox",""
"passed","Sun Jul 27 08:26:35 GMT 2025","Sun Jul 27 08:26:37 GMT 2025","2194","tests","test_product_page","","","","test_add_product_to_cart in chrome",""
"passed","Sun Jul 27 08:24:37 GMT 2025","Sun Jul 27 08:24:39 GMT 2025","2642","tests","test_cart","","","","test_product_is_displayed_in_products_table in firefox",""
"passed","Sun Jul 27 08:25:13 GMT 2025","Sun Jul 27 08:25:19 GMT 2025","6176","tests","test_cart","","","","test_total_cart_price_drops_after_deleting_product in firefox",""
"passed","Sun Jul 27 08:24:32 GMT 2025","Sun Jul 27 08:24:35 GMT 2025","2942","tests","test_cart","","","","test_product_is_displayed_in_products_table in chrome",""
"passed","Sun Jul 27 08:25:04 GMT 2025","Sun Jul 27 08:25:11 GMT 2025","7749","tests","test_cart","","","","test_total_cart_price_drops_after_deleting_product in chrome",""
"passed","Sun Jul 27 08:26:56 GMT 2025","Sun Jul 27 08:27:01 GMT 2025","4675","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
