"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 15 05:30:00 GMT 2025","Tue Jul 15 05:30:04 GMT 2025","4451","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Tue Jul 15 05:29:17 GMT 2025","Tue Jul 15 05:29:19 GMT 2025","1922","tests","test_login","","","","test_successful_login_after_initial_failed_attempt in firefox",""
"passed","Tue Jul 15 05:29:47 GMT 2025","Tue Jul 15 05:29:49 GMT 2025","2227","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Tue Jul 15 05:30:15 GMT 2025","Tue Jul 15 05:30:18 GMT 2025","2945","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Tue Jul 15 05:29:27 GMT 2025","Tue Jul 15 05:29:31 GMT 2025","4341","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Tue Jul 15 05:29:56 GMT 2025","Tue Jul 15 05:29:56 GMT 2025","719","tests","test_products_page","","","","test_all_cards_are_visible_on_start_page in chrome",""
"passed","Tue Jul 15 05:30:23 GMT 2025","Tue Jul 15 05:30:24 GMT 2025","1468","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Tue Jul 15 05:27:50 GMT 2025","Tue Jul 15 05:27:52 GMT 2025","2632","tests","test_cart","","","","test_product_is_displayed_in_products_table in firefox",""
"passed","Tue Jul 15 05:29:14 GMT 2025","Tue Jul 15 05:29:16 GMT 2025","2542","tests","test_login","","","","test_successful_login_after_initial_failed_attempt in chrome",""
"passed","Tue Jul 15 05:29:58 GMT 2025","Tue Jul 15 05:29:59 GMT 2025","971","tests","test_products_page","","","","test_all_cards_are_visible_on_start_page in firefox",""
"passed","Tue Jul 15 05:28:31 GMT 2025","Tue Jul 15 05:28:37 GMT 2025","5872","tests","test_cart","","","","test_total_cart_price_drops_after_deleting_product in firefox",""
"passed","Tue Jul 15 05:28:16 GMT 2025","Tue Jul 15 05:28:21 GMT 2025","5045","tests","test_cart","","","","test_total_cart_price_matches_products_total_price in firefox",""
"passed","Tue Jul 15 05:29:50 GMT 2025","Tue Jul 15 05:29:52 GMT 2025","2171","tests","test_product_page","","","","test_add_product_to_cart in chrome",""
"passed","Tue Jul 15 05:29:12 GMT 2025","Tue Jul 15 05:29:13 GMT 2025","978","tests","test_login","","","","test_login_with_inexistent_user in firefox",""
"passed","Tue Jul 15 05:30:05 GMT 2025","Tue Jul 15 05:30:09 GMT 2025","3326","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in firefox",""
"passed","Tue Jul 15 05:27:53 GMT 2025","Tue Jul 15 05:28:01 GMT 2025","7253","tests","test_cart","","","","test_product_page_details_match_cart_page_details in chrome",""
"passed","Tue Jul 15 05:30:10 GMT 2025","Tue Jul 15 05:30:14 GMT 2025","4425","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Tue Jul 15 05:28:22 GMT 2025","Tue Jul 15 05:28:30 GMT 2025","7582","tests","test_cart","","","","test_total_cart_price_drops_after_deleting_product in chrome",""
"passed","Tue Jul 15 05:28:54 GMT 2025","Tue Jul 15 05:28:55 GMT 2025","1626","tests","test_login","","","","test_login_valid_credentials in chrome",""
"passed","Tue Jul 15 05:28:08 GMT 2025","Tue Jul 15 05:28:15 GMT 2025","6859","tests","test_cart","","","","test_total_cart_price_matches_products_total_price in chrome",""
"passed","Tue Jul 15 05:29:20 GMT 2025","Tue Jul 15 05:29:26 GMT 2025","5438","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"passed","Tue Jul 15 05:30:19 GMT 2025","Tue Jul 15 05:30:21 GMT 2025","2105","tests","test_products_page","","","","test_expected_products_are_displayed_with_all_expected_details in chrome",""
"passed","Tue Jul 15 05:29:02 GMT 2025","Tue Jul 15 05:29:03 GMT 2025","762","tests","test_login","","","","test_login_with_missing_credentials in firefox",""
"passed","Tue Jul 15 05:29:53 GMT 2025","Tue Jul 15 05:29:55 GMT 2025","1628","tests","test_product_page","","","","test_add_product_to_cart in firefox",""
"passed","Tue Jul 15 05:29:04 GMT 2025","Tue Jul 15 05:29:05 GMT 2025","1595","tests","test_login","","","","test_login_with_wrong_password in chrome",""
"passed","Tue Jul 15 05:29:38 GMT 2025","Tue Jul 15 05:29:42 GMT 2025","3805","tests","test_product_page","","","","test_product_details_match_card_details in firefox",""
"passed","Tue Jul 15 05:29:43 GMT 2025","Tue Jul 15 05:29:45 GMT 2025","2430","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"passed","Tue Jul 15 05:28:02 GMT 2025","Tue Jul 15 05:28:07 GMT 2025","5449","tests","test_cart","","","","test_product_page_details_match_cart_page_details in firefox",""
"passed","Tue Jul 15 05:28:57 GMT 2025","Tue Jul 15 05:28:59 GMT 2025","2147","tests","test_login","","","","test_login_valid_credentials in firefox",""
"passed","Tue Jul 15 05:29:32 GMT 2025","Tue Jul 15 05:29:37 GMT 2025","4708","tests","test_product_page","","","","test_product_details_match_card_details in chrome",""
"passed","Tue Jul 15 05:29:07 GMT 2025","Tue Jul 15 05:29:08 GMT 2025","1176","tests","test_login","","","","test_login_with_wrong_password in firefox",""
